"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%4) - 0.5 + (Event #/(4956 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
313318,207242,133,137407,87126,124,2327,1548,28,1.60208,147,199,0,-9,49,0,218,80,0,482,336,0,1.55856
622690,328364,146,298135,156370,147,2722,1439,30,2.60228,264,198,0,-121,62,0,151,85,0,672,389,0,1.56246
272716,184323,140,117980,80728,140,7094,3802,56,1.60288,269,239,0,-2,82,0,217,172,0,1716,1162,16,1.57612
489584,274123,140,244604,141006,138,3819,1655,53,-0.395905,365,403,0,-98,40,0,255,115,0,1494,907,0,1.58979
363184,216741,131,176481,114795,128,8102,4260,64,2.6047,643,583,0,162,192,0,296,180,0,2485,1584,31,1.60638
426011,266640,151,156014,94057,136,3186,1511,41,0.605104,264,193,0,64,94,0,213,136,0,555,382,0,1.60833
176351,99542,126,195120,126861,124,383,323,0,1.60531,474,517,0,20,71,0,-82,40,0,-11,66,0,1.61516
258635,186545,130,80233,57754,116,901,502,0,0.605911,207,163,0,211,111,0,61,66,0,364,369,0,1.63761
202038,146162,113,61889,48773,108,519,287,0,1.60611,124,132,0,-85,70,0,94,83,0,308,205,0,1.63761
280027,182327,126,142675,102637,117,238,84,0,2.60631,95,88,0,13,42,0,17,68,0,123,77,0,1.63858
179829,131249,131,217261,159926,119,783,431,0,1.60692,39,194,0,27,44,0,-38,43,0,355,231,0,1.64639
222819,153142,125,127205,85634,121,1191,706,0,2.60793,54,120,0,-48,59,0,146,113,0,359,250,0,1.65517
369321,258845,138,161235,115098,125,1758,862,0,0.608332,223,223,0,-23,49,0,102,96,0,662,515,0,1.662
485752,288621,141,232114,119213,144,3938,1890,49,1.60853,423,262,0,-42,140,0,147,116,0,1023,692,0,1.66396
