"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
56947.1,45215,82540.9,55244.3,39330,92054.1,132.72,131.04,45.36,6.51,51.3,112.1,0.557431
94082.8,58695,105048,43496,33635,84749.7,158.76,54.6,125.16,53.94,438.3,650.18,0.557431
66275.3,50355,86255.9,25548.6,21311,78567.6,28.56,26.46,52.08,35.34,45,64.9,0.55846
72456.3,52743,90030.8,23183.2,17919,84788.9,15.12,36.96,7.14,70.68,27,47.79,0.55846
65130.1,47876,89154.6,29437,23756,81208.1,67.2,50.82,-18.06,36.27,97.2,66.67,0.560517
43752.1,34577,82926.2,33232.1,26553,82020.8,33.6,62.58,10.08,54.87,25.2,82.01,0.562574
69118.7,52603,86112.3,18515.3,15254,79547.5,47.04,53.76,-10.08,69.75,32.4,77.29,0.562574
74102.7,45619,106456,24370.1,16727,95481.4,50.4,62.58,64.26,55.8,60.3,67.26,0.564631
61461.4,35767,112616,29692.3,18535,104986,65.52,58.8,17.64,57.66,36,114.46,0.564631
66182.9,49406,87790.2,28399.6,20074,92716.6,45.36,46.62,33.18,43.71,59.4,63.13,0.564631
74372.2,48156,101214,30578.5,23255,86174.8,65.52,26.88,-17.22,49.29,39.6,63.72,0.565659
98951.3,68137,95174,30303,22996,86360.1,70.56,69.72,38.64,40.92,86.4,97.94,0.566688
89911.5,58941,99971.8,26989.2,19984,88509,-21,34.44,18.48,72.54,-6.3,18.88,0.568744
96750.5,66554,95270.6,29973.7,22714,86482.2,46.2,53.34,59.64,78.12,69.3,84.96,0.570801
39740.4,19883,130988,45559.9,15547,192051,131.04,63,68.04,29.76,107.1,159.89,0.57183
55490.4,38996,93256.2,18192.7,13340,89376.2,-2.52,31.08,35.7,23.25,52.2,46.61,0.573887
78563.8,54315,94794.4,17753.4,13583,85657.6,16.8,33.18,38.22,57.66,40.5,39.53,0.574915
76486.2,52157,96106,47376,35632,87136.1,59.64,69.3,-38.22,66.96,10.8,138.65,0.574915
69438.6,56546,80478.3,12691.6,10990,75682.8,18.48,0,-33.18,55.8,-18.9,26.55,0.574915
82217.1,61258,87958.8,19648.4,14622,88064.6,28.56,44.94,46.62,44.64,19.8,53.1,0.574915
76155.8,51529,96857,27801.5,21716,83901.2,36.12,2.94,20.58,5.58,62.1,46.02,0.576972
102987,66692,101202,35369.9,25564,90674.4,176.4,61.32,97.44,69.75,143.1,175.82,0.578001
65548,49113,87466.7,31516.8,18548,111359,47.04,75.18,8.4,31.62,27.9,42.48,0.578001
89604.2,60375,97263.8,31683.1,23439,88586.8,39.48,84.84,95.34,65.1,42.3,119.18,0.578001
82399.8,53255,101402,32300.5,23067,91769.5,65.52,94.92,64.68,65.1,78.3,92.63,0.578001
93106.3,61767,98787.6,30266,22679,87460.4,53.76,53.76,78.54,76.26,54.9,81.42,0.578001
50812.3,35552,93666.6,18104.5,13964,84968.3,42.84,46.62,50.82,77.19,69.3,101.48,0.579029
106304,68538,101648,34848.2,25886,88225.8,12.6,63,34.02,67.89,45.9,80.83,0.579029
78738.1,45995,112190,76383.7,46950,106622,110.88,162.96,11.76,73.47,68.4,85.55,0.587257
