"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
73429.3,45240,106372,28712,20341,92506.4,1043.28,939.54,1214.22,84.63,144,33358,0.492485
41951,31022,88624.2,16755.5,13571,80914.2,634.2,480.48,545.58,53.94,119.7,16585.5,0.49353
74506.6,46717,104520,27598.2,17360,104186,711.48,710.22,719.88,112.53,144,23923.3,0.494576
51282.7,31134,107948,22693.4,14942,99534,1001.28,992.04,1378.02,51.15,198,31293.6,0.497713
44758.7,32184,91141.8,15722.3,12056,85465.8,863.52,764.4,928.62,26.04,147.6,20575.1,0.499804
43965.6,19971,144276,43447.3,18447,154354,1774.08,1798.44,2120.58,108.81,351,53626.3,0.501895
43926.4,32727,87962.9,16954.6,13583,81803.3,672,784.14,929.46,69.75,96.3,24654.3,0.509214
45501.4,27436,108689,45576.7,21912,136314,1232.28,1561.14,1590.12,121.83,249.3,51257.4,0.51026
39135.6,25572,100297,22688.4,15228,97643,364.56,661.08,868.98,34.41,39.6,23785.8,0.515488
48317.5,32255,98171.9,19976.9,15602,83912.6,773.64,1188.6,1456.14,-11.16,185.4,39819.7,0.516534
39576.6,28180,92040.2,19520.8,14464,88448,685.44,799.26,937.02,40.92,56.7,26624.9,0.518625
59655.4,41135,95042.6,23491.4,14738,104460,703.92,815.22,1005.06,54.87,100.8,28364.2,0.519671
55045.9,36843,97915.2,21678.7,15590,91131.3,611.52,768.6,777.42,37.2,99,22793.5,0.520716
46628.4,27550,110920,20200.3,13102,101042,8988,1988.7,2610.72,24.18,137.7,79130.2,0.520716
41121.5,28027,96155.1,19058.8,14278,87479.7,490.56,522.48,566.16,59.52,108.9,18181.4,0.524899
54420.1,36739,97076,17162,12239,91897.3,1383.48,879.9,880.32,71.61,158.4,33554.5,0.525944
36066.8,22386,105587,22006.3,14366,100390,89.88,169.26,123.48,9.3,47.7,4954.23,0.52699
49316.4,28150,114813,26806.9,14762,119010,797.16,525.84,688.38,57.66,120.6,13642,0.533264
58289,40121,95212.7,22413.7,17540,83746,577.92,426.3,540.96,83.7,112.5,13102.7,0.534309
52372.6,34068,100748,19588.8,14600,87929.6,396.48,521.22,630.42,35.34,77.4,17458.7,0.5364
46099.2,35791,84411.1,31904.9,17570,119005,1207.08,858.06,812.28,57.66,100.8,25362.3,0.5364
65830.8,42108,102458,28479.4,19729,94603,2672.04,980.7,1263.36,44.64,202.5,38890.4,0.537446
40592.3,29763,89381.4,45961.4,35643,84508.3,299.88,616.14,960.96,28.83,117,24037.8,0.540583
45730.3,28970,103451,23488.9,17219,89399.5,798.84,808.92,908.04,28.83,111.6,25646.1,0.54372
67167.8,37582,117128,70408,46663,98884.7,971.04,2216.76,3081.12,64.17,142.2,78759.1,0.544765
36800.4,26960,89456.6,21562.8,10804,130798,288.12,316.68,295.26,41.85,64.8,10595.8,0.546857
38308.9,20383,123172,41245.7,24428,110655,2822.4,1443.96,1706.88,114.39,299.7,50252.1,0.547902
41216,28447,94953.1,16560.6,13138,82608.9,697.2,474.18,844.2,39.99,75.6,26188.3,0.547902
50074.5,32388,101324,23748.5,17856,87162.9,715.68,990.78,1266.72,49.29,64.8,35151.6,0.547902
44720.2,29542,99207.3,29788.1,21806,89525.4,1574.16,2546.04,3064.74,32.55,203.4,96197.7,0.548948
66089.1,44946,96364.9,23797.2,18090,86211.9,433.44,1000.86,1175.16,74.4,90,26801.3,0.549993
79040.5,56936,90979.3,59431.7,47989,81162.6,473.76,1596.84,1859.34,50.22,211.5,57813.5,0.556267
46838.4,42842,71649.4,23609,19767,78274,254.52,1351.14,1807.26,-17.67,65.7,50581.3,0.557313
56366.1,38153,96820.9,20263.3,14985,88620.4,962.64,952.14,1125.6,45.57,108,35322.7,0.557313
38999.1,25470,100347,21288.1,16659,83746.8,769.44,813.96,1028.16,13.02,65.7,32621.1,0.557313
76813.1,49883,100917,23047.9,16331,92490.9,870.24,857.22,1092,54.87,122.4,34135,0.56045
49819.7,31587,103365,23572.1,15599,99033.3,1364.16,845.46,1051.68,19.53,176.4,26410.8,0.575088
84234.5,54053,102129,43198.7,32661,86680.4,442.68,252.84,226.8,63.24,116.1,6916.57,0.576134
86742.6,53213,106830,28317.2,19949,93027.1,2158.8,725.76,889.56,105.09,189.9,22499.1,0.577179
34213.2,23267,96368.1,35927.6,26047,90396.4,2276.4,1422.12,1784.16,34.41,130.5,53861.7,0.577179
91774.2,51987,115693,45740.5,24679,121466,2278.92,1810.62,2073.54,99.51,223.2,64077.5,0.579271
46034.8,31138,96889.2,20902.6,14262,96050.3,803.88,515.76,749.7,61.38,123.3,17237.4,0.579271
67789.4,44615,99577.4,23080.7,17243,87723.5,297.36,265.86,328.86,87.42,87.3,9749.75,0.579271
52755.5,36433,94897.1,19399,15465,82206.9,338.52,427.98,473.76,19.53,25.2,11489.7,0.580316
42968.1,28060,100355,16412.8,12732,84482.1,301.56,351.96,388.08,39.06,47.7,12239.5,0.580316
76318.9,56735,88157.8,21226,16331,85179.4,585.48,852.6,904.26,13.95,66.6,28258,0.580316
