"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%3) - 0.5 + (Event #/(4082 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
280656,169240,133,195398,124557,124,162,105,0,0.63544,49,84,0,848,657,0,45,86,0,70,61,0,2.16433
641444,346969,140,313824,182824,141,-29,46,0,-0.364071,111,206,0,5669,3491,58,-25,75,0,-92,73,0,2.18386
497876,283692,149,495459,183937,156,235,142,0,1.63642,441,284,0,4820,3527,49,17,79,0,-163,23,0,2.19557
402272,240913,146,197718,115871,130,-10,59,0,-0.363336,61,70,0,2329,1587,33,-55,55,0,0,71,0,2.19655
297934,212874,118,85659,61420,116,0,76,0,0.637644,82,82,0,1074,880,0,77,93,0,110,103,0,2.20241
345149,230616,138,103747,69756,120,84,76,0,1.63789,86,85,0,650,495,0,24,52,0,-22,41,0,2.2151
295510,213257,118,106491,76283,119,41,43,0,-0.361866,121,101,0,2575,2070,34,-33,62,0,-46,40,0,2.22681
267160,184489,118,99995,71077,116,-58,39,0,0.638379,42,99,0,39,65,0,-24,47,0,-36,61,0,2.23365
331250,203470,137,165113,100729,127,-31,76,0,0.639113,117,109,0,2514,1670,36,-6,69,0,0,61,0,2.24536
226929,158009,120,88721,63209,115,36,69,0,1.63936,-66,47,0,2212,1760,32,69,93,0,-87,48,0,2.25317
363880,258276,128,176325,115960,125,-20,55,0,-0.358193,150,122,0,1842,1321,26,-97,45,0,87,58,0,2.2971
506368,262980,140,268385,145447,141,47,52,0,0.642052,110,120,0,2709,1750,40,58,64,0,176,105,0,2.30003
298603,211254,124,129125,85955,120,1,66,0,-0.357458,-39,77,0,2199,1617,32,16,51,0,67,70,0,2.30394
334986,229246,124,122756,83409,123,37,68,0,0.643522,118,108,0,1704,1284,22,-67,28,0,30,84,0,2.31077
420853,279794,141,192322,127438,127,183,188,0,1.64377,286,269,0,2313,1766,35,-73,56,0,-37,75,0,2.31272
369584,227933,131,118878,69337,127,-26,70,0,-0.355988,53,117,0,2114,1498,30,24,94,0,31,84,0,2.31272
381556,176493,151,135482,64753,138,58,96,0,1.64671,20,91,0,1454,794,0,111,111,0,89,61,0,2.35177
154061,105493,119,170968,116669,115,73,109,0,0.647196,389,293,0,130,90,0,-21,51,0,4,50,0,2.35665
212094,135699,134,244971,131061,132,137,126,0,-0.35158,42,84,0,780,430,0,-41,40,0,-21,77,0,2.3752
279725,181419,128,191787,131439,129,164,93,0,-0.35011,78,117,0,2123,1687,30,111,57,0,54,70,0,2.38887
439773,241947,141,417703,253281,145,202,192,0,1.65038,134,196,0,6479,4070,60,-37,37,0,18,63,0,2.3957
257461,179051,122,71599,49996,114,51,70,0,1.65185,-85,24,0,1783,1495,24,-63,19,0,47,64,0,2.42499
428754,223847,138,332286,205669,142,68,89,0,-0.347906,155,145,0,2000,1265,26,-67,51,0,-19,43,0,2.43183
327738,217858,143,135538,86741,130,74,73,0,0.653074,-78,31,0,1943,1439,27,91,94,0,10,45,0,2.45916
162742,109226,120,173596,125988,115,215,128,0,1.65552,207,145,0,52,107,0,-52,58,0,60,90,0,2.50504
241494,159409,129,116050,79373,123,76,60,0,1.65846,99,147,0,1969,1398,28,-115,40,0,45,34,0,2.5519
430955,218287,140,131926,62630,134,-147,24,0,0.658952,62,90,0,2559,1610,37,-39,55,0,-66,52,0,2.57338
351591,215385,128,192084,123341,125,126,80,0,-0.339824,180,119,0,2753,1818,40,131,83,0,-27,27,0,2.58412
408605,270986,131,196733,125575,128,34,78,0,-0.337619,1,92,0,3497,2643,43,-26,51,0,-25,43,0,2.61926
325798,231599,122,117451,79905,117,43,81,0,0.662625,-5,94,0,58,87,0,-93,31,0,37,60,0,2.63586
