"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
190901,153211,114,70100,55957,108,10,84,0,45,118,0,1191,1075,10,-59,91,0,70,61,0,0.394942
144199,119929,106,143671,117267,108,40,83,0,139,120,0,203,264,0,20,58,0,-4,78,0,0.399818
280057,194819,124,127314,88813,120,-21,58,0,156,130,0,3893,3421,41,45,94,0,-54,47,0,0.410545
302321,205933,120,125013,92624,119,208,92,0,53,181,0,3863,2945,44,-61,43,0,-47,63,0,0.41152
332565,214128,134,141207,96686,122,-73,49,0,148,123,0,4550,3241,49,28,48,0,51,55,0,0.41152
329095,231896,125,123689,84987,118,-219,58,0,-52,89,0,2232,1643,31,-15,48,0,-26,80,0,0.412495
261849,194288,121,107627,81212,116,14,52,0,19,35,0,1248,1096,12,7,50,0,-53,69,0,0.412495
308276,204874,121,173712,134219,125,126,105,0,46,60,0,2619,1992,34,119,106,0,36,109,0,0.414445
274768,207661,126,204510,153610,124,-25,71,0,8,75,0,6586,4447,58,42,52,0,26,42,0,0.421272
226331,175124,126,63858,50685,108,-23,74,0,-30,126,0,1441,1145,15,-63,110,0,-39,65,0,0.422247
185850,117397,124,126510,94288,123,-119,42,0,22,72,0,10,53,0,33,56,0,42,122,0,0.426147
413361,266056,135,158898,118323,125,124,100,0,24,122,0,2863,2146,37,-18,38,0,-16,57,0,0.429073
138896,95928,128,147587,111158,117,166,94,0,116,237,0,239,150,0,13,48,0,-23,44,0,0.430048
211332,149645,117,93830,75499,118,-17,45,0,74,87,0,2581,2041,36,35,37,0,-49,69,0,0.433949
229403,177956,128,177442,137835,118,124,100,0,427,412,0,376,280,0,-15,47,0,40,81,0,0.433949
337439,201793,148,128284,89624,130,-179,48,0,-13,100,0,4684,3629,48,81,108,0,45,57,0,0.436874
575117,302034,152,326339,161145,146,37,122,0,133,130,0,11412,6415,76,45,100,0,-46,56,0,0.442725
225753,181444,115,85588,71679,112,-164,41,0,32,44,0,949,815,0,132,69,0,18,72,0,0.445651
196272,142683,110,96935,72268,112,1378,987,0,15,138,0,169,125,0,-86,41,0,18,79,0,0.449551
382208,252942,128,151582,98504,127,35,75,0,0,81,0,3885,2950,45,3,58,0,77,82,0,0.450527
214637,143827,116,46698,34825,108,-113,26,0,122,101,0,1245,883,0,68,86,0,-25,57,0,0.451502
146839,101477,115,164515,115814,119,93,56,0,218,177,0,368,341,0,-49,31,0,97,96,0,0.452477
211732,154846,115,96401,64753,116,-33,53,0,176,112,0,2225,1748,32,96,69,0,57,45,0,0.452477
252684,187414,118,324790,225883,125,-8,139,0,168,220,0,62,64,0,-56,52,0,-9,86,0,0.455402
284833,207790,134,114971,83484,116,-36,50,0,80,77,0,2804,2202,36,85,80,0,137,79,0,0.456378
415890,266376,148,224581,159516,128,-23,65,0,93,118,0,2518,1734,36,63,65,0,22,61,0,0.457353
275073,197900,117,134031,105229,116,-96,66,0,67,69,0,5379,4475,48,18,64,0,2,70,0,0.457353
287712,183097,128,109413,86812,119,101,105,0,91,148,0,5525,4136,51,38,75,0,-66,53,0,0.463204
170832,133677,114,160196,127503,116,93,78,0,37,124,0,786,737,0,-95,41,0,-52,42,0,0.465154
344189,232600,129,146501,101274,122,176,118,0,76,106,0,4800,3545,48,43,88,0,-43,44,0,0.47198
370454,239129,134,176107,112185,134,165,111,0,29,112,0,4832,3299,51,108,67,0,126,95,0,0.473931
250174,166587,121,113694,78916,120,76,133,0,65,83,0,2179,1707,29,95,85,0,71,85,0,0.473931
334876,218003,132,155349,105030,123,19,55,0,86,102,0,6626,4964,54,-33,46,0,9,45,0,0.474906
197868,157704,123,56997,46241,108,122,116,0,51,92,0,831,702,0,5,80,0,-68,73,0,0.475881
323447,196758,135,198159,154013,125,89,70,0,249,209,0,3141,2295,41,-41,48,0,34,78,0,0.479782
323846,225793,128,110987,82024,121,-47,36,0,-15,114,0,419,419,0,88,70,0,-25,40,0,0.484657
219539,129549,123,52567,37845,119,-30,40,0,-71,64,0,1421,1106,10,-64,37,0,-93,41,0,0.486608
244358,146122,135,257886,184590,127,107,94,0,163,83,0,4431,3104,49,40,71,0,71,76,0,0.487583
141158,122331,108,129713,112149,106,146,70,0,29,57,0,1591,1277,20,-130,69,0,-7,27,0,0.487583
226003,164216,115,83613,63543,114,-47,65,0,120,116,0,1463,1245,17,15,64,0,30,78,0,0.491484
176666,129743,112,114538,84984,113,66,107,0,223,188,0,460,375,0,37,62,0,-54,31,0,0.494409
320974,206874,127,329669,244957,130,-112,56,0,31,78,0,6768,4676,58,-6,38,0,22,69,0,0.495384
123008,102366,102,113470,95498,107,24,71,0,209,296,0,125,172,0,73,80,0,-55,61,0,0.496359
201911,165417,109,85379,77920,104,124,108,0,76,101,0,1277,1162,14,20,118,0,-166,27,0,0.497335
309780,223879,120,122565,87251,119,191,94,0,144,179,0,1773,1493,25,-31,63,0,12,59,0,0.503186
396361,227910,143,131791,94644,126,8,85,0,-22,45,0,4590,2776,53,-53,39,0,-13,65,0,0.508061
246048,163250,118,220924,166560,118,68,66,0,330,278,0,1391,1157,14,89,95,0,-17,43,0,0.510987
273202,162761,144,234619,165580,127,68,108,0,62,100,0,2455,1875,34,81,101,0,-69,51,0,0.520739
444799,282561,146,215130,144795,132,-9,71,0,65,196,0,1039,674,0,-35,63,0,8,53,0,0.522689
232517,175733,117,123305,97876,112,-76,62,0,-7,103,0,2829,2425,35,-28,55,0,-6,87,0,0.527565
386846,235956,150,227346,141096,133,13,94,0,154,169,0,5652,3930,54,60,72,0,-153,32,0,0.52854
