"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
66782.1,41759,104807,45959.8,27922,107873,11.76,87.78,10.5,43.71,76.5,54.87,0.588158
81017.3,59184,89712.6,24811.1,19132,84989.5,50.4,61.32,-8.82,29.76,25.2,67.26,0.591326
83395.9,60482,90364.6,34758.4,25862,88080,30.24,79.38,2.52,44.64,31.5,63.72,0.594494
113776,73008,102132,33214.4,25236,86255.4,66.36,66.36,45.36,89.28,61.2,135.7,0.612445
44746.8,33297,88071.8,32434.1,22181,95829.8,50.4,49.98,2.52,42.78,52.2,59,0.614557
78000.3,45290,112869,34482,24979,90468.5,95.76,67.62,7.56,40.92,57.6,106.79,0.617725
78967.7,56636,91377,22239,15345,94979.1,77.28,44.94,34.86,38.13,58.5,63.72,0.619837
60450.6,48625,81474.4,14622.7,11645,82294.1,3.36,18.9,-4.2,16.74,21.6,36.58,0.621948
83329.4,58609,93178.1,18319.6,14077,85287.4,35.28,14.28,38.22,42.78,35.1,51.33,0.628284
88424,67272,86142.2,26615.4,21352,81691,25.2,42,3.36,45.57,-15.3,65.49,0.631452
49042,37821,84979.7,13324.1,10560,82690,17.64,31.5,-10.5,55.8,14.4,14.16,0.644123
41347.6,25977,104314,28371,21108,88086.1,35.28,70.98,37.38,64.17,56.7,99.71,0.646235
48688.5,40317,79144,23863.6,21424,72998.6,-9.24,38.22,-17.22,35.34,-15.3,35.4,0.648347
61917.8,47630,85195.1,28201.3,21966,84139.2,56.28,44.1,-29.4,17.67,24.3,87.32,0.652571
44735.6,30525,96045.6,69478.1,54361,83760.7,338.52,202.44,183.54,27.9,235.8,356.95,0.65785
60378.5,48913,80898,11346.7,9469,78531.9,4.2,23.1,33.6,49.29,1.8,45.43,0.65785
48804.7,37910,84370,21131,17058,81184.4,31.92,47.04,-11.34,33.48,4.5,65.49,0.661018
99134.7,64741,100352,26067.7,19145,89233.4,23.52,26.88,-32.76,34.41,38.7,65.49,0.675801
70681.8,55028,84179,13565.2,10956,81143.3,45.36,31.08,26.04,15.81,54.9,33.63,0.683193
49797.3,34239,95315.8,23073.1,17883,84556.3,59.64,52.08,60.48,51.15,52.2,64.31,0.699032
78589.7,50718,101551,23144.5,18083,83879.9,36.12,49.14,81.9,74.4,24.3,67.85,0.700088
55401.5,42360,85712.8,11208.1,8673,84692.2,48.72,18.48,3.36,-2.79,51.3,21.83,0.705368
82285.7,57821,93265,31174.9,26217,77929.6,31.08,56.7,60.9,56.73,33.3,44.25,0.727542
60291.7,49614,79640.4,35708.4,22669,103233,-26.88,726.6,204.12,32.55,-24.3,102.07,0.819409
59980.9,42942,91539.9,20439.7,16899,79267.3,78.96,64.26,68.88,36.27,163.8,86.73,0.820465
37022.3,19469,124623,54294.2,22573,157632,151.2,119.7,79.38,5.58,79.2,169.92,0.856367
69114.5,49684,91165.9,18318.7,14592,82273.5,33.6,49.56,35.28,26.04,10.8,63.72,0.914444
62087.9,48572,83772.4,19583.8,15973,80350.7,47.04,56.7,82.32,94.86,76.5,66.67,0.94401
91732.9,65238,92151.9,25470.5,19174,87057.1,80.64,53.34,22.68,68.82,62.1,40.71,0.945066
39767,27950,93244,63922.3,46627,89845.2,234.36,203.7,143.22,16.74,80.1,230.1,0.957737
38043.6,20455,121888,42703.9,27367,102263,100.8,49.98,-8.4,66.03,68.4,138.65,0.963017
58846.9,50691,76080.4,38813,28339,89758,84.84,79.38,146.16,20.46,37.8,109.15,0.973576
107859,65719,107558,59950,43604,90103.7,132.72,136.5,98.28,93,561.6,246.62,0.978856
70837.9,46319,100227,43104.6,29122,97002.4,84,95.76,-15.12,70.68,54,120.95,0.979912
59519.6,43471,89730.5,20775.7,16747,81301.6,42.84,60.48,35.28,57.66,26.1,70.21,0.98308
95321.1,59712,104618,36303.1,26536,89657.9,89.04,76.02,18.9,104.16,75.6,115.64,0.98308
110034,68217,105710,42869.4,30372,92502.6,57.12,69.3,25.62,40.92,72,128.03,0.989415
46442.2,33943,89669,69919.1,41715,109846,478.8,211.26,160.02,0,155.7,305.62,0.991527
72053.8,48766,96832.2,21211.7,16282,85378.2,84.84,86.52,138.6,38.13,47.7,135.7,0.993639
59676.4,43256,90414.1,30069.5,22917,85990,55.44,48.3,89.04,44.64,45,118,0.994695
58886.1,46344,83272,23289.8,18789,81234.9,59.64,39.06,-14.28,25.11,36.9,59,0.994695
87897.6,61472,93708.6,55451.8,26760,135803,165.48,149.52,58.8,29.76,131.4,210.04,0.994695
48514.2,26513,119920,38830.7,16605,153256,120.96,91.14,36.96,44.64,114.3,106.79,0.996807
39048.1,29827,85796.6,18746.3,14739,83354.1,32.76,10.5,14.28,16.74,-14.4,67.26,0.997863
39907.7,31218,83778.3,21968.5,13022,110561,55.44,8.4,-3.78,37.2,14.4,83.19,0.997863
126797,80691,102983,67577.2,39879,111054,90.72,108.36,30.66,93.93,57.6,150.45,0.997863
85117.9,60736,91844.8,19619.9,15720,81794.4,68.04,42.84,11.76,66.96,50.4,76.7,1.00103
58174.9,48266,78990.4,26458.3,18515,93652.3,89.88,69.72,47.04,62.31,74.7,113.28,1.00314
47318.6,31814,97475.1,16605.1,12326,88287.6,11.76,50.82,-2.1,57.66,11.7,58.41,1.0042
74099.9,53754,90341.4,18203.6,14807,80569.6,13.44,37.8,20.58,53.01,12.6,97.94,1.0042
101013,66579,99430.4,39938.6,28451,91997.4,76.44,68.46,-21,36.27,18,129.8,1.00525
51264.5,44682,75190.7,17272.1,15966,70897.1,55.44,23.52,73.5,3.72,27,37.76,1.00525
39616.5,30731,84485,26371,15947,108374,84,38.22,46.2,-0.93,53.1,85.55,1.00631
37636.9,28624,86171.5,35059.9,28680,80114.6,84.84,89.46,20.58,-14.88,68.4,50.15,1.00631
46717.3,33777,90643.5,33067.4,20911,103635,73.08,53.34,-7.98,-26.97,83.7,31.86,1.00631
93555,67334,91056.8,32960.8,24502,88160.8,97.44,61.74,11.76,24.18,55.8,70.21,1.00631
41716.5,37808,72311,23999.6,19274,81604.2,78.96,32.34,18.06,17.67,62.1,58.41,1.00631
118360,77063,100656,40743.4,27959,95502.6,125.16,77.7,-8.82,69.75,123.3,141.6,1.00631
115940,77428,98132.7,54400.1,36456,97793.6,113.4,109.62,39.06,62.31,123.3,190.57,1.00631
67369.4,53974,81800.9,19813.9,15686,82782.4,89.88,84.84,60.48,8.37,76.5,76.7,1.00842
85199.1,61814,90329.2,18181.8,15386,77444.6,60.48,31.08,-5.88,52.08,62.1,124.49,1.00842
72809.1,45614,104609,16751.3,12990,84512.1,57.12,38.22,-27.72,66.96,63.9,84.96,1.00842
109192,69305,103254,45936.2,24138,124719,129.36,112.56,-14.7,45.57,90,208.27,1.00842
35812,25756,91123.4,44861.9,29973,98090.6,87.36,86.94,45.78,-24.18,98.1,56.05,1.00842
51499.7,41010,82299.1,11623.9,10706,71155,59.64,20.58,40.74,75.33,64.8,71.39,1.00948
52474.1,41325,83217,6723.36,6441,68409,55.44,9.66,53.34,25.11,76.5,52.51,1.00948
61515.3,45597,88415.2,10510.9,9600,71754.5,88.2,8.82,38.64,30.69,47.7,32.45,1.00948
87887.8,62286,92473.7,49457.5,31162,104013,88.2,83.16,31.08,31.62,93.6,139.83,1.01053
65000.6,55290,77046.1,14531.2,13399,71073.5,35.28,5.88,28.98,3.72,47.7,48.38,1.01053
61641.3,43477,92916.4,36722.3,24345,98855.2,74.76,78.96,26.88,25.11,71.1,112.69,1.01053
128445,89870,93666.2,45282.7,34099,87030.4,126,114.24,54.18,132.99,62.1,136.29,1.01159
75365.5,56182,87913.5,25338.6,20582,80681.7,78.12,63.42,30.66,50.22,98.1,56.05,1.01159
58405.2,44481,86051.2,19700.5,16441,78528.9,57.96,28.14,48.72,11.16,59.4,65.49,1.01265
36649.2,28881,83163.4,31134.6,22767,89622.6,54.6,71.4,6.3,-16.74,46.8,36.58,1.01581
47636.4,29914,104362,58879,32218,119768,250.32,120.12,100.8,-0.93,69.3,80.24,1.01581
36472.8,29914,79905.1,21053.8,18634,74046.3,54.6,52.92,25.62,4.65,60.3,78.47,1.01581
88092.9,52796,109350,45237.4,21959,135010,142.8,81.9,115.92,55.8,124.2,166.38,1.01581
49116.9,37829,85091.5,39444.7,26157,98828.2,171.36,105.84,42,8.37,91.8,181.72,1.01687
47768,36699,85302.7,21488.9,16959,83041.2,76.44,41.16,5.46,3.72,56.7,17.11,1.01687
44638.3,35548,82294.8,20391.8,13393,99783.5,106.68,42.84,118.44,-13.95,73.8,100.3,1.01687
54004.3,38219,92603.8,23901.4,18342,85399.6,107.52,44.94,51.24,-13.02,65.7,69.03,1.01687
62390.3,51521,79362,18082.7,16317,72627.7,83.16,39.48,82.74,-7.44,27.9,89.09,1.01687
41569.5,31818,85621.3,21053.8,15075,91527.6,99.96,57.96,57.12,42.78,72.9,94.4,1.01793
96649,57871,109450,60144,40959,96232.8,134.4,109.2,89.04,46.5,82.8,113.87,1.01793
124981,76896,106517,69036.2,38616,117163,158.76,118.86,-2.94,36.27,140.4,191.16,1.01898
52421.6,32754,104888,75085.9,42630,115431,178.92,155.82,96.6,48.36,133.2,229.51,1.01898
70170.1,54818,83889.8,26195.4,19606,87562.1,45.36,62.58,42.84,17.67,32.4,82.6,1.01898
57932,44775,84793.6,24766.6,18375,88332,51.24,36.12,63,35.34,45.9,116.82,1.01898
66017.7,46038,93977.5,44346.1,28038,103655,67.2,98.28,80.64,57.66,56.7,164.61,1.02004
87888.5,51024,112885,68419.7,38218,117326,130.2,170.1,62.16,91.14,124.2,218.89,1.02004
63580.3,45674,91229.1,21593.9,15306,92458.9,44.52,76.86,81.06,48.36,57.6,81.42,1.02109
99746.5,63634,102728,46611.6,21886,139575,63.84,111.3,29.82,67.89,62.1,117.41,1.02109
45605.7,24323,122880,72130.8,20759,227716,156.24,207.9,91.56,-9.3,131.4,161.07,1.02109
76240.5,42528,117487,68722.9,42951,104860,103.32,157.5,65.94,49.29,77.4,166.38,1.02109
94168.2,63551,97109.5,24513.7,19823,81043.8,41.16,53.34,102.48,50.22,76.5,71.39,1.02215
63319.2,41482,100036,40154.5,16254,161903,31.08,68.88,53.34,54.87,39.6,74.34,1.02215
57598.1,35706,105718,37987.3,26794,92914,115.92,64.26,88.2,83.7,90,163.43,1.02321
54479.6,39958,89353.2,17241.8,14257,79256.6,18.48,42.84,71.82,30.69,23.4,75.52,1.02321
39042.5,25674,99660.7,32633.2,21066,101521,79.8,78.96,35.28,45.57,39.6,93.22,1.02321
59412.5,35642,109244,28116.5,15966,115410,91.56,79.8,-6.3,110.67,123.3,126.85,1.02321
64037.4,49194,85310.3,20822.8,18014,75754.4,51.24,52.92,60.9,33.48,36.9,40.71,1.02321
69289.5,49301,92106.8,14264,12797,73049,51.24,77.7,-21.42,34.41,87.3,61.95,1.02426
39375,22783,113263,33133,18143,119683,106.68,69.72,94.5,6.51,92.7,64.9,1.02426
70609,55560,83287.1,14707.6,13137,73371,21.84,30.66,-38.22,63.24,63,89.68,1.02532
61566.4,43112,93589.2,24136.6,20312,77875.8,3.36,31.08,100.8,80.91,176.4,64.9,1.02532
51109.8,43306,77345.7,15138.5,14231,69715.1,5.04,26.88,-2.1,71.61,30.6,40.12,1.02532
46485.6,35175,86609.2,14944.4,13943,70243,-16.8,5.88,-11.76,38.13,-7.2,52.51,1.02532
116598,77328,98817.8,60546.4,40232,98627.1,90.72,120.96,44.94,60.45,144.9,196.47,1.02532
51971.5,38714,87978.6,10862,10538,67551.2,9.24,16.38,23.94,23.25,28.8,37.17,1.02532
