"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","B525-A","R660-A","R710-A","UV440-A","V440-A","YG610-A","Time"
54929.7,33787,106546,16618.6,12262,88820.2,49.56,63.42,25.2,91.14,2935.8,50.74,0.331899
48729.1,33795,94496.5,16238,12832,82931.4,21.84,47.46,21.84,65.1,3735,54.87,0.332991
76616.4,44916,111789,25757.8,19104,88361.6,70.56,31.5,73.92,120.9,951.3,97.35,0.335174
52710.7,38990,88598.3,15622.3,12666,80832.5,45.36,34.44,5.46,44.64,2897.1,22.42,0.337358
78208.9,45706,112141,46945.1,29603,103928,72.24,83.16,15.54,89.28,6708.6,79.06,0.337358
113627,68116,109323,54328.7,29320,121435,152.88,77.28,29.82,106.95,569.7,90.27,0.337358
57768.9,39169,96656.6,14233.8,11349,82194.6,25.2,10.5,13.02,76.26,5022.9,38.94,0.33845
61190.5,38919,103039,21521.6,16271,86684.4,13.44,19.32,-7.56,68.82,5295.6,56.64,0.33845
32996.6,26340,82098.1,35445.5,21744,106832,167.16,112.56,29.82,23.25,619.2,87.91,0.339541
57388.8,37153,101231,41559,26153,104141,121.8,110.04,55.02,129.27,4768.2,70.21,0.340633
50141.7,27738,118469,39098.6,21011,121954,138.6,82.74,-0.42,81.84,4536.9,64.31,0.340633
49214.9,35577,90658.2,16721,13273,82560.8,72.24,31.92,-13.44,48.36,4624.2,53.69,0.341725
58024.4,34574,109987,35335.4,23834,97161.3,102.48,67.2,-36.54,118.11,8010.9,86.73,0.342817
88856.6,50506,115299,29147.2,20295,94121.1,21,51.24,-49.56,133.92,6579,41.89,0.342817
58666.3,35043,109715,20580,14383,93772.6,41.16,57.96,10.92,92.07,4036.5,51.92,0.343909
58802.8,36853,104570,30098,16809,117348,29.4,54.6,6.3,129.27,6407.1,62.54,0.343909
40818.4,24009,111420,24571.7,15284,105360,37.8,44.52,14.7,113.46,3196.8,43.07,0.343909
38894.8,27423,92951.5,17619,13996,82500.6,77.28,43.26,20.16,41.85,1628.1,24.78,0.348276
55955.2,34228,107137,36754.2,24892,96767,83.16,78.12,76.86,98.58,6216.3,71.39,0.351551
66234,38326,113258,18548.9,13570,89581.4,28.56,57.12,18.06,34.41,3069,47.2,0.353735
44429.7,29172,99813,16996.6,12420,89684.9,90.72,37.38,24.78,83.7,4827.6,38.35,0.35701
57828.4,36497,103840,20548.9,14997,89797.6,42,45.78,-16.38,83.7,5708.7,25.37,0.359193
47539.1,33555,92848.2,16655.5,13595,80289.5,25.2,13.86,-16.38,64.17,2314.8,73.16,0.360285
29374.8,16760,114863,49863.2,24716,132215,65.52,39.48,10.08,14.88,315.9,57.82,0.360285
57824.2,33562,112912,23557.8,17102,90275,77.28,76.44,34.02,109.74,4493.7,79.65,0.361377
40539.1,29836,89045.8,25389.8,16689,99703.3,91.56,23.94,40.32,93,5136.3,119.77,0.362469
38717.7,28930,87708.4,12652.1,9762,84938.2,68.04,35.28,-44.52,49.29,3271.5,5.31,0.362469
72634.1,40480,117593,29274.8,19172,100071,80.64,65.1,2.1,97.65,6064.2,66.67,0.364652
46441.5,33273,91473.3,35220.4,28836,80045.8,367.92,99.54,125.58,60.45,325.8,218.3,0.364652
59995.6,39515,99503.3,21399,15606,89863.2,35.28,25.62,44.94,86.49,3411,76.11,0.364652
76318.9,45141,110800,25984.6,18601,91550.1,40.32,27.72,28.98,114.39,5945.4,73.75,0.365744
75168.1,52270,94245.6,25180.7,19063,86567.8,18.48,45.36,23.1,128.34,6677.1,45.43,0.366836
113588,62623,118871,52285,26210,130734,91.56,97.02,70.56,143.22,5715,51.33,0.366836
64612.1,46562,90941.5,17563.6,14294,80526.5,40.32,28.14,50.82,66.96,3135.6,16.52,0.367928
64667.4,42628,99419.2,24799.3,17687,91889.4,96.6,46.2,93.24,123.69,7209.9,37.17,0.369019
57223.6,36601,102462,23985.4,17529,89674.5,58.8,28.14,-17.22,73.47,6599.7,43.66,0.369019
79180.5,41195,125966,62120.5,25851,157484,178.92,124.74,107.52,132.06,5631.3,105.61,0.369019
