"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","GFP-H","GFP-W","(Event #%5) - 0.5 + (Event #/(7059 + 1))","SYTOX Red-A","SYTOX Red-H","SYTOX Red-W","BFP-A","BFP-H","BFP-W","RFP-A","RFP-H","RFP-W","mCherry-A","mCherry-H","mCherry-W","Time"
349115,214541,125,198744,131158,126,1543,861,0,3.54235,715,539,0,-85,70,0,432,285,0,3274,2070,40,0.692803
293054,202132,125,120532,84204,119,830,479,0,0.542635,275,213,0,80,105,0,163,108,0,816,487,0,0.695924
354421,185796,138,195140,110856,133,630,388,0,2.54292,366,311,0,43,118,0,386,167,0,1450,758,0,0.696964
470214,270952,138,467589,287525,141,3343,1937,43,3.54377,1145,1023,7,67,129,0,608,302,0,4283,2581,48,0.716728
210554,156953,133,183329,113127,119,315,181,0,-0.455382,429,279,0,-17,82,0,205,125,0,1310,752,0,0.738574
621799,311429,179,401345,169249,169,4386,1926,49,0.545467,1040,636,0,119,118,0,532,271,0,4206,1825,50,0.760419
225393,151443,136,94507,67535,115,53,90,0,2.54575,2,70,0,182,101,0,-139,43,0,355,195,0,0.761459
399115,201105,144,295196,165142,144,1012,455,0,3.5466,656,490,0,-10,55,0,221,161,0,2273,1290,25,0.774982
355220,240096,125,116684,74646,124,662,418,0,0.546884,338,358,0,33,62,0,232,158,0,1508,958,0,0.777063
262693,188413,123,341116,207983,129,363,281,0,1.54703,969,633,0,-84,79,0,529,293,0,3698,2018,47,0.778103
171809,140014,110,177325,142357,110,252,220,0,0.5483,217,267,0,107,135,0,147,82,0,255,295,0,0.804109
317338,225522,120,124384,86462,120,491,262,0,3.54873,331,334,0,110,80,0,170,177,0,1624,1107,15,0.80723
318666,177652,149,312319,198226,149,6474,3286,61,3.54943,976,737,0,99,142,0,676,351,0,4523,2683,49,0.812431
218794,143854,115,50992,40509,108,92,82,0,1.55057,-47,40,0,125,110,0,106,56,0,69,133,0,0.831155
148631,84150,122,142744,78514,121,72,65,0,-0.449008,-16,39,0,249,185,0,178,67,0,13,56,0,0.846759
185851,145710,115,58406,51324,106,230,269,0,0.551133,45,116,0,-5,74,0,26,91,0,518,416,0,0.846759
148310,121911,107,227819,188031,111,336,283,0,1.55127,514,512,0,124,123,0,67,100,0,530,488,0,0.846759
463678,264326,131,192464,117503,133,3479,1689,47,3.55227,979,746,0,144,85,0,492,318,0,4701,2533,52,0.875886
285680,195347,117,94032,63071,119,1906,1222,21,2.55283,491,476,0,-39,92,0,303,224,0,2598,1715,33,0.880047
